number of cycles = 1000000; data structure = Apache Data Sketches Java CPC (p = 10)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 136; 136.0; 136; 0.0; 36; 36.0; 36; 0.0; 0.0; 0.0; 0.0; 0.0
2; 136; 136.0; 136; 0.0; 36; 36.051208; 40; 0.4496773740538877; -5.739958857960465E-6; 0.009180223295877778; 0.09169283174124863; 0.024306156979505566
5; 136; 151.999968; 152; 0.02262739437054121; 40; 40.174672; 44; 0.8174213677265845; -5.9525666758288E-6; 0.01146431828449359; 0.15981956832722766; 0.0422414479503572
10; 184; 184.0; 184; 0.0; 44; 47.828644; 52; 0.8124414571302968; -5.079307894792879E-6; 0.012146409670020297; 0.21717191430752886; 0.056451294435941865
20; 248; 248.0; 248; 0.0; 52; 56.793816; 64; 1.5964360801936293; -1.5451051201252102E-5; 0.012489027892509849; 0.3094560223165798; 0.07086769512717632
50; 376; 616.89728; 632; 60.31752787210033; 76; 83.49794; 92; 1.7532095586095804; 2.7444607625403663E-6; 0.012675289031661534; 0.7929003048630167; 0.10732020423470479
100; 632; 1164.625984; 1192; 77.87267443739006; 108; 119.45764; 132; 2.3887514794134614; -1.20303620311084E-5; 0.012791263013607992; 1.5244153751442429; 0.15636184113718513
200; 1176; 1176.131856; 1224; 1.4549522312653431; 164; 178.196688; 196; 3.2198189127117067; 1.591992258125776E-5; 0.012909743475674673; 1.5681269744507513; 0.2375881851894882
500; 1176; 1178.269744; 1224; 6.083094457138078; 288; 307.47378; 336; 4.855842307118302; 1.899681556036142E-5; 0.013190882669872788; 1.6401456923141178; 0.42800199049033605
1000; 1176; 1187.984272; 1288; 14.277223561673887; 412; 445.486628; 476; 6.5721011244210175; 2.181147061303892E-5; 0.013683310945810798; 1.7794388587665466; 0.6672783770020123
2000; 1176; 1215.872496; 1288; 23.689254921376993; 520; 562.948064; 604; 8.2931387696037; 4.229529452831457E-5; 0.014601685572795413; 2.073881827172959; 0.9602057480637345
5000; 1176; 1301.208064; 1416; 45.99909326684499; 604; 648.387216; 696; 10.11645233119516; 1.0717376789807816E-4; 0.01706393665322241; 3.031064607332242; 1.5103684004407503
10000; 1224; 1415.68448; 1672; 31.51541538881568; 612; 657.050532; 708; 10.475611987706303; 1.7508627042313486E-4; 0.01923855262436432; 4.191806716494194; 1.9455103676164363
20000; 1224; 1417.815104; 1672; 33.70599076528064; 608; 657.188104; 708; 10.487088866085953; 2.14568528734745E-4; 0.02048858018044472; 4.761385147662646; 2.2070054612749943
50000; 1224; 1414.79328; 1672; 34.63573857797174; 612; 657.986972; 708; 10.428463658239213; 2.5529798657724696E-4; 0.021203289616863484; 5.088496336748674; 2.3665395814223493
100000; 1224; 1414.841344; 1672; 34.94893709790992; 608; 657.981964; 704; 10.421170505404083; 2.1647315164746353E-4; 0.021425417981798433; 5.195846777628981; 2.4163652567021594
200000; 1224; 1414.86624; 1672; 34.842294704315904; 612; 657.986804; 708; 10.42796019677789; 2.3090555788438815E-4; 0.021551673726015068; 5.257355904221134; 2.4449454733678526
500000; 1224; 1415.651136; 1672; 34.118620691779206; 608; 656.477216; 708; 10.78397964062173; 2.464953572466296E-4; 0.021611573834435804; 5.2895535564515095; 2.4529146371710224
1000000; 1224; 1415.68672; 1672; 34.17066858640024; 612; 656.45106; 712; 10.788483529968426; 2.6557227054527726E-4; 0.02164080804275608; 5.304007026260228; 2.4594572976117024
