number of cycles = 1000000; data structure = Apache Data Sketches Java HLL6 (p = 11)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 248; 248.0; 248; 0.0; 12; 12.0; 12; 0.0; 0.0; 0.0; 0.0; 0.0
2; 248; 248.0; 248; 0.0; 16; 16.0; 16; 0.0; 2.4835269396561444E-9; 2.483526939631809E-9; 1.2237125622795848E-14; 7.894919756642483E-16
5; 248; 248.0; 248; 0.0; 28; 28.0; 28; 0.0; 9.934107580988894E-9; 9.934107581096558E-9; 1.9579400297067544E-13; 2.2105774528947226E-14
10; 344; 344.0; 344; 0.0; 52; 52.0; 52; 0.0; 2.235174250131422E-8; 2.235174250131421E-8; 1.3749002811095943E-12; 2.0783376342354333E-13
20; 344; 344.0; 344; 0.0; 92; 92.0; 92; 0.0; 4.718701305250761E-8; 4.718701305294601E-8; 6.127642280763684E-12; 1.638788051832148E-12
50; 728; 728.0; 728; 0.0; 208; 211.999956; 212; 0.013266426195475555; -9.830721988592289E-8; 6.633221996939027E-5; 2.5625386876937566E-5; 7.462336387903491E-6
100; 1240; 1240.0; 1240; 0.0; 408; 411.999872; 412; 0.022627054956401195; -7.41309275983258E-8; 5.6567713780675464E-5; 3.174306992433442E-5; 1.0546887698155509E-5
200; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; 8.761308041914818E-6; 0.015835490923523033; 3.594935110702823; 3.1636231415057763
500; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; 7.519610947453202E-6; 0.016284734453957676; 3.801800772918094; 3.3456695417923186
1000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; 1.364510716144368E-5; 0.01698869974778262; 4.137597816508753; 3.6411784356218213
2000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -5.5605009242827316E-5; 0.017433055317678317; 4.356874084279553; 3.8341464458196732
5000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -7.685187423901928E-5; 0.0188553395531969; 5.096789622096815; 4.485288635070691
10000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -3.940939357888497E-5; 0.02068607741082224; 6.1345722173966575; 5.3985604837246255
20000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; 2.4816310813497892E-5; 0.02184862640114521; 6.843468450442725; 6.022404992381795
50000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; 1.977427579279465E-5; 0.02251295043510177; 7.265956989037451; 6.394204336892892
100000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -2.437260797277232E-5; 0.022744243287102214; 7.41602144034869; 6.526264403699711
200000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -1.678524389562888E-5; 0.02286132688111644; 7.492570864346728; 6.593629605510484
500000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -2.2428934678970068E-5; 0.02289887442749508; 7.517202739862153; 6.6153062057827094
1000000; 1792; 1792.0; 1792; 0.0; 1577; 1577.0; 1577; 0.0; -1.1595798143373734E-5; 0.022927032406506013; 7.535701411395252; 6.631585449648611
