number of cycles = 1000000; data structure = ExaLogLog (t = 2, d = 20, p = 8)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.9306532328405214E-4; 4.130212647928669E-4; 0.0012773522000011932; 0.0012227644991464413
2; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.8240350695962687E-4; 0.010207517115770734; 0.7802002216476187; 0.7468583318336178
5; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.7222272025094483E-4; 0.013078411780787618; 1.2807838720523386; 1.2260495185458282
10; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.8280313014256143E-4; 0.014001472098325845; 1.4679566622504363; 1.4052234715559733
20; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.832895143087437E-4; 0.014415716174552146; 1.55610279171543; 1.4896026724113518
50; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.782916170633498E-4; 0.014678403746970398; 1.6133310577543511; 1.544385286055447
100; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.8176476023537794E-4; 0.014802568934591183; 1.6407409604101697; 1.570623825349906
200; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.6603998468916223E-4; 0.014910486834755224; 1.6647517609587734; 1.5936085233109627
500; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.524293226682925E-4; 0.015160706688530087; 1.7210945403897593; 1.6475434916551543
1000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.418539268316189E-4; 0.015567286592615512; 1.8146450039824205; 1.7370960721882998
2000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -1.0060448457450613E-4; 0.01634960065606964; 2.0016130987977907; 1.9160740774816458
5000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 8.659778387642119E-6; 0.01841924702141665; 2.5404437323397144; 2.4318777608722053
10000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 2.111080813646811E-5; 0.02042435653896598; 3.123651698150648; 2.9901623093407914
20000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 1.0696230301782094E-5; 0.021589580538697202; 3.4902315889226556; 3.3410763928148492
50000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; -5.022967611844453E-6; 0.022290231999707207; 3.7204460661945737; 3.561452644562327
100000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 1.7170336228276442E-5; 0.02250859654514491; 3.793697245219636; 3.631573431321361
200000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 1.3834537896971525E-5; 0.02262361732020765; 3.8325685181561817; 3.6687835387477983
500000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 2.076442080815988E-5; 0.02268928374375979; 3.85484933287466; 3.69011218189711
1000000; 936; 936.0; 936; 0.0; 896; 896.0; 896; 0.0; 3.7483119318956306E-5; 0.022692550068490188; 3.855959292638675; 3.6911747074831758
