number of cycles = 1000000; data structure = Hash4j HyperLogLog (p = 11)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.487872598614012E-4; 2.809672064245378E-4; 9.953079362523996E-4; 9.700463135048768E-4
2; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.426050244373531E-4; 0.010912113276246924; 1.501287717265148; 1.463183968095982
5; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.627734375343914E-4; 0.014077836133374535; 2.4987224082582213; 2.4353030577948145
10; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.3559628095953686E-4; 0.014781706244472443; 2.7548333683892157; 2.6849137397498954
20; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.3691189833118523E-4; 0.015210566983846537; 2.917003875206798; 2.8429682438563715
50; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.4126105754270676E-4; 0.015490361169800772; 3.025305853866349; 2.94852144133167
100; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.522825518943301E-4; 0.015621674744305834; 3.076814988667257; 2.998723237685855
200; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.673200899921189E-4; 0.01571313099587002; 3.112946539622023; 3.033937744200144
500; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.686226883716752E-4; 0.015963107075263504; 3.2127804887536993; 3.1312378367548743
1000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.1509821465198384E-4; 0.016348172442369732; 3.369648653726404; 3.2841245762206572
2000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -1.649623937028699E-4; 0.01704299027087863; 3.6621640270421083; 3.569215701482664
5000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -4.0565616186538224E-5; 0.018863245917056785; 4.48620436261695; 4.372341307728194
10000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; 7.531023925827887E-6; 0.020656132646476685; 5.379528686978655; 5.242992425887826
20000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; 4.676385433329367E-7; 0.021794522701137492; 5.988815378865171; 5.836814988538645
50000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -5.458277383468097E-6; 0.022488301648609387; 6.376164548777791; 6.21433296124536
100000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -2.0691461259667996E-8; 0.022707396793946323; 6.501010958340581; 6.336010680210109
200000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; 4.9130644362902756E-5; 0.022842922771652542; 6.57884331443721; 6.4118675957966715
500000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; 1.1839804141645116E-5; 0.02290437711345923; 6.614289069967636; 6.446413712861859
1000000; 1576; 1576.0; 1576; 0.0; 1536; 1536.0; 1536; 0.0; -1.9626786618847992E-5; 0.02292627681599682; 6.626943438259939; 6.4587469042939505
