number of cycles = 1000000; data structure = HyperLogLogLog (p = 11)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 928; 928.062; 936; 0.703153; 768; 768.023; 771; 0.263682; 0.00024422; 0.00024422; 0.000442823; 0.000366461
2; 928; 928.125; 936; 0.990437; 768; 768.047; 773; 0.372604; 0.000247923; 0.0109741; 0.894191; 0.739966
5; 928; 928.307; 936; 1.53772; 768; 768.116; 775; 0.584753; 0.000258375; 0.0138862; 1.43202; 1.18491
10; 928; 928.604; 944; 2.11385; 768; 768.232; 777; 0.818156; 0.000254811; 0.0148033; 1.62794; 1.34679
20; 928; 929.164; 944; 2.8211; 768; 768.458; 779; 1.13066; 0.000239363; 0.0152885; 1.73745; 1.43694
50; 928; 930.602; 944; 3.75891; 768; 769.105; 781; 1.67858; 0.000242476; 0.015531; 1.79577; 1.48413
100; 928; 932.411; 952; 4.10309; 768; 770.104; 785; 2.18149; 0.000237489; 0.0156826; 1.83458; 1.51523
200; 928; 934.912; 952; 4.10441; 768; 771.914; 790; 2.76645; 0.000227255; 0.0158661; 1.8828; 1.55454
500; 928; 940.591; 968; 4.90532; 768; 776.805; 805; 4.02365; 0.000241927; 0.0162779; 1.99384; 1.64665
1000; 928; 948.598; 984; 5.99441; 768; 784.98; 819; 5.95443; 0.000289896; 0.016991; 2.19083; 1.81294
2000; 936; 964.806; 1016; 8.91184; 771; 801.512; 851; 8.32671; 0.000383565; 0.0186555; 2.68622; 2.23158
5000; 960; 1014.28; 1080; 13.2292; 794; 850.643; 917; 13.0374; 0.0145593; 0.0345591; 9.69106; 8.12758
10000; 1008; 1080.15; 1160; 16.1916; 819; 883.604; 962; 15.4431; 0.000320017; 0.0206151; 3.67235; 3.00414
20000; 1016; 1086.99; 1168; 15.1236; 815; 883.608; 962; 15.4269; -5.74958e-05; 0.0218429; 4.14894; 3.37264
50000; 1032; 1091.16; 1176; 14.3391; 815; 880.718; 968; 15.2505; -0.000120467; 0.0225248; 4.42892; 3.57477
100000; 1040; 1094.12; 1176; 13.7579; 809; 880.711; 964; 15.2347; -8.73585e-05; 0.0227343; 4.52393; 3.64155
200000; 1048; 1096.4; 1176; 13.317; 815; 880.693; 964; 15.2259; -7.24922e-05; 0.0228497; 4.57952; 3.67853
500000; 1048; 1098.39; 1176; 12.9316; 830; 898.047; 979; 16.1256; -6.07471e-05; 0.0229329; 4.6213; 3.77838
1000000; 1048; 1099.93; 1176; 12.644; 826; 898.059; 979; 16.1188; -7.00337e-05; 0.0229638; 4.64024; 3.78863
