number of cycles = 1000000; data structure = SpikeSketch (numOfBuckets = 128)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.00226753; 0.934887; 7159.92; 7159.92
2; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.00186456; 0.661372; 3583.29; 3583.29
5; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.00124919; 0.418868; 1437.29; 1437.29
10; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000939633; 0.296262; 719.021; 719.021
20; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000941848; 0.209779; 360.508; 360.508
50; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000786189; 0.133105; 145.138; 145.138
100; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000633031; 0.0945833; 73.2856; 73.2856
200; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000190548; 0.0677317; 37.5815; 37.5815
500; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; -0.000629752; 0.0443069; 16.0817; 16.0817
1000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; -0.00183365; 0.033277; 9.0715; 9.0715
2000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; -0.00380908; 0.0265922; 5.79293; 5.79293
5000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; -0.00665373; 0.0244811; 4.90967; 4.90967
10000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.155236; 0.159816; 209.233; 209.233
20000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.006021; 0.0218729; 3.91926; 3.91926
50000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.00189022; 0.0222191; 4.04429; 4.04429
100000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.000597278; 0.0219412; 3.94375; 3.94375
200000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.00167134; 0.0225601; 4.16939; 4.16939
500000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; -0.000949929; 0.0223145; 4.0791; 4.0791
1000000; 1024; 1024; 1024; 0; 1024; 1024; 1024; 0; 0.0032919; 0.0226213; 4.19205; 4.19205
